fold,step,val_loss,best_val,bad,elapsed_s,train_loss,lr,source
0,300,0.7628,0.7628,0,83,,,log
0,600,0.7626,0.7626,0,151,,,log
0,900,0.7768,0.7626,1,219,,,log
0,1200,0.7442,0.7442,0,288,,,log
0,1500,0.7878,0.7442,1,356,,,log
0,1800,0.8159,0.7442,2,424,,,log
0,2100,0.8116,0.7442,3,493,,,log
0,2400,0.7952,0.7442,4,561,,,log
0,2700,0.811,0.7442,5,629,,,log
0,3000,0.8464,0.7442,6,698,,,log
1,300,0.7399,0.7399,0,69,,,log
1,600,0.75,0.7399,1,138,,,log
1,900,0.7295,0.7295,0,207,,,log
1,1200,0.754,0.7295,1,275,,,log
1,1500,0.7735,0.7295,2,344,,,log
1,1800,0.8036,0.7295,3,413,,,log
1,2100,0.7889,0.7295,4,481,,,log
1,2400,0.8028,0.7295,5,550,,,log
1,2700,0.8108,0.7295,6,618,,,log
2,300,0.7263,0.7263,0,68,,,log
2,600,0.7077,0.7077,0,135,,,log
2,900,0.7177,0.7077,1,202,,,log
2,1200,0.7041,0.7041,0,270,,,log
2,1500,0.7213,0.7041,1,337,,,log
2,1800,0.7537,0.7041,2,404,,,log
2,2100,0.7683,0.7041,3,471,,,log
2,2400,0.7629,0.7041,4,539,,,log
2,2700,0.7698,0.7041,5,606,,,log
2,3000,0.8024,0.7041,6,673,,,log
3,300,0.7262,0.7262,0,67,,,log
3,600,0.72,0.72,0,134,,,log
3,900,0.7363,0.72,1,201,,,log
3,1200,0.7325,0.72,2,267,,,log
3,1500,0.7321,0.72,3,335,,,log
3,1800,0.7906,0.72,4,401,,,log
3,2100,0.798,0.72,5,468,,,log
3,2400,0.7868,0.72,6,534,,,log
4,300,0.7753,0.7753,0,68,,,log
4,600,0.7683,0.7683,0,136,,,log
4,900,0.7795,0.7683,1,204,,,log
4,1200,0.7547,0.7547,0,272,,,log
4,1500,0.7819,0.7547,1,340,,,log
4,1800,0.8097,0.7547,2,408,,,log
4,2100,0.8424,0.7547,3,475,,,log
4,2400,0.8048,0.7547,4,543,,,log
4,2700,0.832,0.7547,5,611,,,log
4,3000,0.8719,0.7547,6,679,,,log
