fold,step,val_loss,best_val,bad,elapsed_s,train_loss,lr,source
0,300,0.7629,0.7629,0,77,,,log
0,600,0.7634,0.7629,1,143,,,log
0,900,0.7777,0.7629,2,211,,,log
0,1200,0.7453,0.7453,0,278,,,log
0,1500,0.79,0.7453,1,345,,,log
0,1800,0.8183,0.7453,2,412,,,log
0,2100,0.8132,0.7453,3,479,,,log
0,2400,0.7952,0.7453,4,546,,,log
0,2700,0.8129,0.7453,5,613,,,log
0,3000,0.847,0.7453,6,681,,,log
1,300,0.7402,0.7402,0,68,,,log
1,600,0.7503,0.7402,1,135,,,log
1,900,0.7304,0.7304,0,202,,,log
1,1200,0.7541,0.7304,1,269,,,log
1,1500,0.7747,0.7304,2,337,,,log
1,1800,0.8069,0.7304,3,404,,,log
1,2100,0.7907,0.7304,4,472,,,log
1,2400,0.8051,0.7304,5,539,,,log
1,2700,0.8132,0.7304,6,606,,,log
2,300,0.7269,0.7269,0,67,,,log
2,600,0.7073,0.7073,0,133,,,log
2,900,0.7175,0.7073,1,199,,,log
2,1200,0.7053,0.7053,0,265,,,log
2,1500,0.7224,0.7053,1,331,,,log
2,1800,0.7539,0.7053,2,397,,,log
2,2100,0.7687,0.7053,3,463,,,log
2,2400,0.7634,0.7053,4,529,,,log
2,2700,0.7725,0.7053,5,595,,,log
2,3000,0.8024,0.7053,6,662,,,log
3,300,0.7264,0.7264,0,66,,,log
3,600,0.7207,0.7207,0,132,,,log
3,900,0.7372,0.7207,1,197,,,log
3,1200,0.7318,0.7207,2,263,,,log
3,1500,0.732,0.7207,3,329,,,log
3,1800,0.7911,0.7207,4,395,,,log
3,2100,0.7973,0.7207,5,460,,,log
3,2400,0.7868,0.7207,6,526,,,log
4,300,0.7756,0.7756,0,67,,,log
4,600,0.769,0.769,0,134,,,log
4,900,0.7806,0.769,1,200,,,log
4,1200,0.7556,0.7556,0,267,,,log
4,1500,0.7833,0.7556,1,333,,,log
4,1800,0.8107,0.7556,2,400,,,log
4,2100,0.8444,0.7556,3,467,,,log
4,2400,0.8065,0.7556,4,533,,,log
4,2700,0.8331,0.7556,5,600,,,log
4,3000,0.8738,0.7556,6,667,,,log
