fold,step,val_loss,best_val,bad,elapsed_s,train_loss,lr,source
0,400,0.8562,0.8562,0,25,,,log
0,800,0.8535,0.8535,0,43,,,log
0,1200,0.8274,0.8274,0,59,,,log
0,1600,0.8379,0.8274,1,75,,,log
0,2000,0.8106,0.8106,0,91,,,log
0,2400,0.8038,0.8038,0,107,,,log
0,2800,0.8018,0.8018,0,123,,,log
0,3200,0.8159,0.8018,1,138,,,log
0,3600,0.7877,0.7877,0,154,,,log
0,4000,0.7897,0.7877,1,170,,,log
0,4400,0.7864,0.7864,0,186,,,log
0,4800,0.7753,0.7753,0,202,,,log
0,5200,0.777,0.7753,1,218,,,log
0,5600,0.7721,0.7721,0,234,,,log
0,6000,0.7737,0.7721,1,250,,,log
0,6400,0.8014,0.7721,2,266,,,log
0,6800,0.7825,0.7721,3,282,,,log
0,7200,0.7787,0.7721,4,297,,,log
0,7600,0.7851,0.7721,5,313,,,log
0,8000,0.7723,0.7721,6,329,,,log
0,8400,0.7796,0.7721,7,345,,,log
0,8800,0.8136,0.7721,8,360,,,log
1,400,0.9206,0.9206,0,16,,,log
1,800,0.875,0.875,0,32,,,log
1,1200,0.8762,0.875,1,48,,,log
1,1600,0.8585,0.8585,0,63,,,log
1,2000,0.942,0.8585,1,79,,,log
1,2400,0.8399,0.8399,0,95,,,log
1,2800,0.8357,0.8357,0,111,,,log
1,3200,0.8235,0.8235,0,127,,,log
1,3600,0.824,0.8235,1,143,,,log
1,4000,0.82,0.82,0,158,,,log
1,4400,0.8125,0.8125,0,174,,,log
1,4800,0.8221,0.8125,1,190,,,log
1,5200,0.8227,0.8125,2,206,,,log
1,5600,0.8399,0.8125,3,222,,,log
1,6000,0.8354,0.8125,4,238,,,log
1,6400,0.8143,0.8125,5,254,,,log
1,6800,0.8155,0.8125,6,270,,,log
1,7200,0.8247,0.8125,7,285,,,log
1,7600,0.8145,0.8125,8,301,,,log
2,400,0.976,0.976,0,16,,,log
2,800,0.9082,0.9082,0,32,,,log
2,1200,0.8675,0.8675,0,48,,,log
2,1600,0.8383,0.8383,0,63,,,log
2,2000,0.8537,0.8383,1,79,,,log
2,2400,0.8584,0.8383,2,95,,,log
2,2800,0.8404,0.8383,3,111,,,log
2,3200,0.8232,0.8232,0,127,,,log
2,3600,0.8428,0.8232,1,143,,,log
2,4000,0.8416,0.8232,2,158,,,log
2,4400,0.8192,0.8192,0,175,,,log
2,4800,0.8232,0.8192,1,190,,,log
2,5200,0.8194,0.8192,2,206,,,log
2,5600,0.8173,0.8173,0,222,,,log
2,6000,0.8175,0.8173,1,238,,,log
2,6400,0.8229,0.8173,2,254,,,log
2,6800,0.8185,0.8173,3,270,,,log
2,7200,0.815,0.815,0,286,,,log
2,7600,0.8306,0.815,1,302,,,log
2,8000,0.8051,0.8051,0,317,,,log
2,8400,0.8187,0.8051,1,333,,,log
2,8800,0.8095,0.8051,2,349,,,log
2,9200,0.8047,0.8047,0,365,,,log
2,9600,0.8022,0.8022,0,381,,,log
2,10000,0.8149,0.8022,1,397,,,log
2,10400,0.8118,0.8022,2,413,,,log
2,10800,0.8324,0.8022,3,429,,,log
2,11200,0.8147,0.8022,4,445,,,log
2,11600,0.8238,0.8022,5,461,,,log
2,12000,0.814,0.8022,6,476,,,log
3,400,0.9338,0.9338,0,16,,,log
3,800,0.9147,0.9147,0,32,,,log
3,1200,0.907,0.907,0,48,,,log
3,1600,0.9086,0.907,1,64,,,log
3,2000,0.8875,0.8875,0,80,,,log
3,2400,0.8965,0.8875,1,96,,,log
3,2800,0.8541,0.8541,0,112,,,log
3,3200,0.8803,0.8541,1,127,,,log
3,3600,0.8505,0.8505,0,144,,,log
3,4000,0.8724,0.8505,1,159,,,log
3,4400,0.8464,0.8464,0,175,,,log
3,4800,0.8588,0.8464,1,191,,,log
3,5200,0.848,0.8464,2,207,,,log
3,5600,0.8605,0.8464,3,223,,,log
3,6000,0.8404,0.8404,0,239,,,log
3,6400,0.8469,0.8404,1,255,,,log
3,6800,0.8626,0.8404,2,271,,,log
3,7200,0.833,0.833,0,287,,,log
3,7600,0.8336,0.833,1,303,,,log
3,8000,0.8451,0.833,2,318,,,log
3,8400,0.8361,0.833,3,334,,,log
3,8800,0.8335,0.833,4,350,,,log
3,9200,0.8773,0.833,5,366,,,log
3,9600,0.8495,0.833,6,382,,,log
3,10000,0.8418,0.833,7,398,,,log
3,10400,0.8508,0.833,8,414,,,log
4,400,0.88,0.88,0,16,,,log
4,800,0.8962,0.88,1,32,,,log
4,1200,0.8541,0.8541,0,48,,,log
4,1600,0.8455,0.8455,0,64,,,log
4,2000,0.8322,0.8322,0,80,,,log
4,2400,0.8244,0.8244,0,96,,,log
4,2800,0.8221,0.8221,0,112,,,log
4,3200,0.8891,0.8221,1,128,,,log
4,3600,0.8211,0.8211,0,144,,,log
4,4000,0.8371,0.8211,1,160,,,log
4,4400,0.8107,0.8107,0,176,,,log
4,4800,0.8167,0.8107,1,192,,,log
4,5200,0.8058,0.8058,0,208,,,log
4,5600,0.8205,0.8058,1,224,,,log
4,6000,0.8254,0.8058,2,240,,,log
4,6400,0.8172,0.8058,3,256,,,log
4,6800,0.8082,0.8058,4,272,,,log
4,7200,0.8128,0.8058,5,288,,,log
4,7600,0.8339,0.8058,6,304,,,log
4,8000,0.811,0.8058,7,320,,,log
4,8400,0.8579,0.8058,8,336,,,log
