fold,step,val_loss,best_val,bad,elapsed_s,train_loss,lr,source
0,400,0.9645,0.9645,0,31,,,log
0,800,0.9509,0.9509,0,47,,,log
0,1200,0.9392,0.9392,0,62,,,log
0,1600,0.9674,0.9392,1,78,,,log
0,2000,0.9438,0.9392,2,94,,,log
0,2400,0.9313,0.9313,0,109,,,log
0,2800,0.9873,0.9313,1,125,,,log
0,3200,0.952,0.9313,2,141,,,log
0,3600,0.9079,0.9079,0,156,,,log
0,4000,0.9712,0.9079,1,172,,,log
0,4400,0.9754,0.9079,2,188,,,log
0,4800,0.9264,0.9079,3,203,,,log
0,5200,0.9931,0.9079,4,219,,,log
0,5600,0.9742,0.9079,5,234,,,log
0,6000,1.0271,0.9079,6,250,,,log
0,6400,0.9966,0.9079,7,266,,,log
0,6800,1.0146,0.9079,8,281,,,log
1,400,0.8914,0.8914,0,16,,,log
1,800,0.856,0.856,0,31,,,log
1,1200,0.853,0.853,0,47,,,log
1,1600,0.8696,0.853,1,63,,,log
1,2000,0.8253,0.8253,0,78,,,log
1,2400,0.8799,0.8253,1,94,,,log
1,2800,0.8287,0.8253,2,109,,,log
1,3200,0.8546,0.8253,3,125,,,log
1,3600,0.8643,0.8253,4,140,,,log
1,4000,0.8294,0.8253,5,156,,,log
1,4400,0.8407,0.8253,6,171,,,log
1,4800,0.8499,0.8253,7,187,,,log
1,5200,0.8832,0.8253,8,203,,,log
2,400,0.8747,0.8747,0,16,,,log
2,800,0.9065,0.8747,1,31,,,log
2,1200,0.8436,0.8436,0,47,,,log
2,1600,0.9246,0.8436,1,62,,,log
2,2000,0.8203,0.8203,0,78,,,log
2,2400,0.8258,0.8203,1,94,,,log
2,2800,0.8247,0.8203,2,109,,,log
2,3200,0.8203,0.8203,3,125,,,log
2,3600,0.8402,0.8203,4,140,,,log
2,4000,0.8457,0.8203,5,156,,,log
2,4400,0.8385,0.8203,6,171,,,log
2,4800,0.8382,0.8203,7,187,,,log
2,5200,0.8586,0.8203,8,203,,,log
3,400,0.8099,0.8099,0,16,,,log
3,800,0.8048,0.8048,0,32,,,log
3,1200,0.8076,0.8048,1,47,,,log
3,1600,0.7922,0.7922,0,63,,,log
3,2000,0.7874,0.7874,0,79,,,log
3,2400,0.8002,0.7874,1,94,,,log
3,2800,0.7913,0.7874,2,110,,,log
3,3200,0.7662,0.7662,0,126,,,log
3,3600,0.7648,0.7648,0,141,,,log
3,4000,0.8072,0.7648,1,157,,,log
3,4400,0.7893,0.7648,2,173,,,log
3,4800,0.7788,0.7648,3,189,,,log
3,5200,0.8177,0.7648,4,204,,,log
3,5600,0.7848,0.7648,5,220,,,log
3,6000,0.803,0.7648,6,235,,,log
3,6400,0.9026,0.7648,7,251,,,log
3,6800,0.8896,0.7648,8,267,,,log
4,400,0.8805,0.8805,0,16,,,log
4,800,0.8773,0.8773,0,31,,,log
4,1200,0.8559,0.8559,0,47,,,log
4,1600,0.9124,0.8559,1,63,,,log
4,2000,0.8498,0.8498,0,78,,,log
4,2400,0.8705,0.8498,1,94,,,log
4,2800,0.8308,0.8308,0,109,,,log
4,3200,0.8499,0.8308,1,125,,,log
4,3600,0.8427,0.8308,2,141,,,log
4,4000,0.848,0.8308,3,156,,,log
4,4400,0.8875,0.8308,4,172,,,log
4,4800,0.8557,0.8308,5,188,,,log
4,5200,0.8623,0.8308,6,203,,,log
4,5600,0.9046,0.8308,7,219,,,log
4,6000,0.9149,0.8308,8,234,,,log
